Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Afghanistan,153.0,3.575,3.782937527,7.517126083,0.520636737,52.24000168,0.530935049,0.244272724,0.775619805,0.435440153,7.89716844,0.33736494,0.16310261,6.0,6.0,60.71717073,0.0,0.0,0.0,0.0,Asia,,,,,238583385.4
Albania,95.0,4.959,5.5101242070000005,9.246655464,0.784501791,66.95999908,0.601512134,-0.17226187899999998,0.8476752040000001,0.364893705,5.84830141,0.02880703,0.9912596752,3.0,3.0,78.01446341,89.0,132.0,54.0,4.9,Europe,7.2,4.166666667,9.594,6.619161556,183204695.7
Algeria,68.0,5.605,5.604595661,9.485086441,0.8393968940000001,64.81999969,0.586663485,-0.195858598,0.6901163459999999,,6.00050994,0.39871528,-0.4033970811,6.0,5.0,75.04253659,25.0,0.0,14.0,0.7,Africa,4.95,5.0,8.222000000000001,5.333293239,9326287144.0
Angola,137.0,4.033,4.360249996,8.699498177,0.7525928620000001,53.20000076,0.456028581,-0.124064885,0.906300485,0.237090692,2.69289044,0.27859305,9.282167512,6.0,6.0,52.66609756,217.0,57.0,45.0,5.9,Africa,5.28,4.166666667,7.942,5.45870401,4144634851.0
Argentina,30.0,6.574,6.468387127000001,9.863960266,0.901776373,67.66000366,0.747498393,-0.143875062,0.816546202,0.41825547799999996,8.40588238,0.43417765,11.758994011,2.0,2.0,76.33421951,193.0,25.0,221.0,8.3,South America,5.04,3.3,5.12,5.723698766,4563217859.0
Armenia,127.0,4.35,4.319711685,8.924141883999999,0.6764464379999999,65.51999664,0.5018637779999999,-0.20153889100000003,0.8925443890000001,0.285362303,6.71185884,0.0291695,0.1784529205,5.0,4.0,74.79712195,21.0,179.0,11.0,3.8,Europe,7.75,5.0,9.488,7.651228098,380571678.9
Australia,10.0,7.284,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.420419186,8.68936294,0.23789338,36.595012584,1.0,1.0,82.45121951,261.0,72.0,212.0,10.4,Oceania,7.96,9.166666667000001,9.888,8.125883364,26216580848.0
Austria,13.0,7.2,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.376573861,10.1991558,0.08633169,5.182161264,1.0,1.0,81.84390244,279.0,75.0,191.0,9.7,Europe,7.62,10.0,9.502,7.54926179,3187227449.0
Azerbaijan,80.0,5.212000000000001,4.9107718469999995,9.673333168,0.761873245,63.88000107,0.598859072,-0.16071149699999998,0.763154805,0.707989275,4.97886665,0.09649341,4.04763,7.0,6.0,70.84878049,21.0,46.0,5.0,1.3,Europe,6.32,5.833333333,9.788,7.055134644,3246122613.0
Bahrain,49.0,5.96,5.0271868710000005,10.62035942,0.911349595,66.86000061,0.6818228959999999,,0.437915266,,4.10642622,0.01371855,-1.462765957,7.0,6.0,76.81909756,42.0,63.0,7.0,2.0,Asia,7.33,7.5,9.45,8.764023597000001,1182180851.0
Bangladesh,109.0,4.694,4.724443913,7.903443812999999,0.581765294,61.54000092,0.66768229,-0.028887972,0.7648944259999999,0.705811918,2.57301204,1.61200886,3.380251355,4.0,4.0,72.00119512,0.0,0.0,0.0,0.0,Asia,6.24,3.333333333,8.756,6.666386521000001,1823425076.0
Belarus,59.0,5.813,5.749043465,9.768808365,0.901961505,63.45999908,0.64524883,-0.22508487100000002,0.6574302320000001,,5.24690672,0.09489616,1.6523,7.0,6.0,73.62439024,142.0,373.0,42.0,14.4,Europe,,,,,817069894.1
Belgium,19.0,6.937,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.44011718,10.10650062,0.11274196,-20.797132929,1.0,1.0,81.28780488,295.0,84.0,212.0,10.5,Europe,7.35,8.333333332999999,9.432,8.090982514,5168997834.0
Benin,155.0,3.34,3.1934688089999996,7.5261535639999995,0.5230273010000001,52.25999832,0.768971086,-0.08822233199999999,0.805977643,0.5820804829999999,4.66644064,0.10575952,0.1496953821,2.0,2.0,59.72070732,34.0,4.0,13.0,1.1,Africa,5.74,,8.65,6.796798712,78223091.04
Bolivia,51.0,5.89,6.018894672,8.664394378999999,0.7808194159999999,61.68000031,0.86237967,-0.009273426999999999,0.8397014140000001,0.43529263100000004,5.12558001,0.10724705,0.5034440268,3.0,3.0,68.73960976,167.0,41.0,8.0,3.8,South America,6.38,4.166666667,9.082,5.726643465,499870043.4
Bosnia and Herzegovina,96.0,4.949,4.773144722,9.203286171,0.778859854,66.77999878,0.41978931399999997,-0.013100526000000001,0.95342195,0.19495232399999998,9.49001539,0.03535961,0.2934492815,4.0,3.0,76.58858537,76.0,173.0,8.0,4.6,Europe,6.79,,9.59,7.388401554,197344650.2
Botswana,128.0,4.332,4.835938931,9.564126015,0.836743116,54.45999908,0.7994102240000001,-0.209501565,0.8144228459999999,0.6622377629999999,6.48440961,0.02209197,0.3934714062,3.0,2.0,64.48741463,173.0,35.0,35.0,5.4,Africa,7.25,5.833333333,8.492,7.977967264,326874161.7
Brazil,16.0,6.983,6.660003662,9.623767853,0.890314102,65.01999664,0.848606348,,0.622543156,0.45893567799999996,10.03918369,2.05962108,74.693632858,2.0,2.0,74.67587805,245.0,145.0,16.0,7.2,South America,6.24,3.333333333,8.92,5.078008985,33987005074.0
Bulgaria,134.0,4.218,4.222297192,9.665997505,0.837966621,65.90000153,0.641256452,-0.173897162,0.938208699,0.34292280700000005,7.59439374,0.07177991,2.77817,2.0,2.0,74.46585366,231.0,252.0,94.0,10.3,Europe,7.37,4.166666667,9.41,7.928623569,807529319.0
Burkina Faso,152.0,3.5869999999999997,3.95500803,7.3274221420000005,0.743765771,50.77999878,0.621848702,-0.06050337099999999,0.726286888,0.617090106,4.89312958,0.18110624,0.1673973286,4.0,3.0,58.93129268,25.0,7.0,7.0,4.3,Africa,5.81,5.0,9.236,7.34842853,147729698.9
